path	proposed_owner	migration_rule
assets/images/li_test/cline_red_team_test_4.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_5.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_6.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_7.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_8.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/li_test/cline_red_team_test_9.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/qradar_landing_empty.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
assets/images/qradar_offences.png	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
bin/install-raes-inventory-skill.sh	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/+git-env-isolation.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/+techvault-live-boot-honesty.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/567.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/577.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/580.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/607.changed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/689.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/690.removed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/691.changed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/692.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/716.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/759.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/790.changed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/824.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/824.fixed.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
changelog.d/876.added.md	repository-metadata	Inspect identity/content owner during #934; no runtime capability implied
config/certs.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/cortex/application.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/cortex/thehive-cortex.env	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/otel/grafana-datasources.yaml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/otel/otel-collector-config.yaml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/otel/tempo-config.yaml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/rules/local.rules	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/rules/misp/misp-iocs.rules	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/rules/misp/misp-md5.list	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/rules/misp/misp-sha1.list	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/rules/misp/misp-sha256.list	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/suricata/suricata.yaml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/thehive/application.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh-certs-tool.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/ad_rules.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/custom-shuffle	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/database_rules.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/etc/lists/active-response-whitelist	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/falco_rules.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/filebeat_wazuh_module.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/patch-rule-path.py	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/postgresql_decoders.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/samba_decoders.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/suricata_rules.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/wazuh_manager.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_cluster/webapp_rules.xml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_dashboard/opensearch_dashboards.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_dashboard/wazuh.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_indexer/internal_users.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
config/wazuh_indexer/wazuh.indexer.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/_wazuh-agent/aptl-firewall-drop.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/_wazuh-agent/install.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/_wazuh-agent/ossec.conf.template	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/_wazuh-agent/wazuh-agent.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/ad/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/ad/provision-users.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/ad/setup-ad.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/ad/supervisord.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/appliance-egress-proxy/Dockerfile	backend-substrate	Qualify exact host/runtime security and package independently of TechVault
containers/appliance-egress-proxy/proxy.py	backend-substrate	Qualify exact host/runtime security and package independently of TechVault
containers/base/Dockerfile.rocky	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/base/Dockerfile.ubuntu	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/base/falco_custom.yaml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/base/scripts/entrypoint-base.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/base/scripts/ossec.conf.template	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/db/init/01-schema.sql	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/db/init/02-seed-data.sql	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/dns/named.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/dns/zones/172.20.rev	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/dns/zones/techvault.local.zone	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/fileshare/smb.conf	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/generic-systemd-base-debian/Dockerfile	backend-substrate	Qualify exact host/runtime security and package independently of TechVault
containers/generic-systemd-base/Dockerfile	backend-substrate	Qualify exact host/runtime security and package independently of TechVault
containers/kali-capture/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali-capture/entrypoint.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali-capture/writer.py	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali-ssh-proxy/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali-ssh-proxy/proxy.py	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali/audit/aptl.rules	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali/scripts/aptl-capture-client	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/kali/scripts/aptl-wrap-shell.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/keys/aptl_lab_key.pub	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/keys/authorized_keys	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/mailserver/setup.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/misp-suricata-sync/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/network-boundary-helper/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/network-boundary-helper/helper.py	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/README.md	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/entrypoint.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/install-all.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/install-falco.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/install-wazuh.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/rebuild_container.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/reverse-tools-install.service	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/reverse/setup-reverse-tools.sh	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/wazuh-sidecar/Dockerfile	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/app.py	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/static/style.css	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/admin.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/base.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/dashboard.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/login.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/search.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/tools.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/webapp/app/templates/upload.html	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/README.md	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/enable-rdp.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/join-domain.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-ghidra.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-python-re.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-re-tools.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-ssh.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-sysinternals.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-sysmon.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-vs-buildtools.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-wazuh-agent.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-wdk.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
containers/windows-victim/setup-x64dbg.ps1	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
docker-compose.yml	split-pack-delivery	Inventory exact content owner; retain reusable delivery/evidence tools, retire static duplication after parity
docs/adrs/README.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-000-use-adrs.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-001-docker-compose-deployment.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-002-wazuh-siem.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-003-mcp-common-library.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-004-persistent-ssh-sessions.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-005-docker-compose-profiles.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-006-four-network-segmentation.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-007-python-cli-control-plane.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-008-soc-stack-integration.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-009-scenario-engine.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-010-sonarcloud-quality.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-011-web-ui.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-012-opentelemetry-integration.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-013-deployment-abstraction.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-014-scenario-description-language.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-015-declarative-sdl-objectives.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-016-workflows-targetable-subobjects-and-enum-variables.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-017-sdl-runtime-layer.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-018-control-flow-primitives.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-019-suricata-ids-only-prevention-via-wazuh-ar.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-020-wazuh-agents-in-process-vs-sidecar.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-021-active-response-whitelist-via-wrapper.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-022-misp-driven-suricata-rules.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-023-container-interaction-in-deployment-backend.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-024-orchestrator-side-purple-continuity-carve-out.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-025-strict-first-party-config-schema.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-026-advisory-ci-vulnerability-scanning.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-027-red-team-structured-logging.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-028-runtime-rendered-service-config.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-029-control-plane-secret-handling.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-030-startup-partial-readiness-classification.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-031-lab-orchestration-contract-guards.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-032-conversation-surface-hardening.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-033-agent-reasoning-trace-boundary.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-034-lab-managed-soc-tls-ca.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-035-raes-sdl-adoption.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-036-snapshot-endpoint-registry.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-037-docker-compose-backend-cohesion.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-038-docs-style-lint-and-published-site.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-039-web-control-plane-authentication.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-040-terminal-ssh-host-key-verification.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-041-kali-capture-sidecar-ownership-boundary.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-042-sidecar-owned-pty-master.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-043-suricata-runtime-config-ownership-boundary.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-044-raes-aligned-run-reproducibility-record.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-045-ephemeral-lifecycle-policy-enforcement.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-046-dynamic-raes-scenario-realization.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-047-raes-experiment-admission-and-trial-plan-boundary.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-048-image-free-placement-realization.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-049-sealed-disposable-lab-appliance.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-050-terminal-attempt-archival-and-atomic-seal.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-051-component-level-raes-realization.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-052-configured-participant-credential-sourcing.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/adrs/adr-053-pack-backend-deployment-serving-interaction-seam.md	architecture-history	Preserve immutable record with proposed disposition ledger
docs/architecture/dep-003-ephemeral-lifecycle-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/dep-008-self-contained-lab-assets-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/enterprise-infrastructure.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/exp-005-safe-parameter-binding-provenance-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/exp-008-portable-evidence-bundle-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/exp-009-aces-archival-sealing-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/exp-010-capture-admission-evidence-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/grc-boundary-surface-vocabulary-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/index.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-550-soc-selected-profile-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-557-participant-implementation-binding-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-589-scenario-pack-capture-ownership-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-677-cert-producer-ownership-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-790-ssh-module-split-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-820-resource-bounded-participant-profile-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-821-participant-workbench-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
docs/architecture/issue-823-versioned-disposable-appliance-preflight.md	docs-follow-owner	Separate current user guidance from historical evidence and experience docs
